eid,canonical_name,entity_type,is_inferred,created_source,fund_rows,fund_aum_usd,filer_rows,filer_aum_usd,ech_class,ech_is_activist,ech_source,ciks
26823,BlackRock Floating Rate Income Trust,institution,False,bootstrap_tier4,488,434109001.37,,0.0,unknown,False,bootstrap_tier4,0001287480
26851,BlackRock Long-Term Municipal Advantage Trust,institution,False,bootstrap_tier4,776,432667652.1200002,,0.0,active,False,tier4_keyword_sweep,0001343793
26794,"BlackRock Municipal Credit Alpha Portfolio, Inc.",institution,False,bootstrap_tier4,354,405136760.6000001,,0.0,active,False,tier4_keyword_sweep,0001232860
27061,BlackRock Alpha Strategies Fund,institution,False,bootstrap_tier4,44,256393614.48,,0.0,unknown,False,bootstrap_tier4,0001833936
18031,BlackRock (Singapore) Limited,institution,True,ncen_adviser_map,549,234444640.7,,0.0,,,,
26756,BlackRock Virginia Municipal Bond Trust,institution,False,bootstrap_tier4,90,59615851.049999975,,0.0,active,False,tier4_keyword_sweep,0001169034
12488,BlackRock Sustainable U.S. Value Equity Fund,fund,True,fund_universe,60,5312350.949999998,,0.0,active,False,fund_universe,
14797,BlackRock Global Equity Absolute Return Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
14798,BlackRock Advantage Small Cap Growth Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
14799,BlackRock Exchange Portfolio,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
14800,"BlackRock Large Cap Focus Value Fund, Inc.",fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
14813,"BlackRock Advantage SMID Cap Fund, Inc.",fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
14814,BlackRock 60/40 Target Allocation Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
14815,BlackRock 80/20 Target Allocation Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
14816,BlackRock 40/60 Target Allocation Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
14817,BlackRock 20/80 Target Allocation Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
14863,Global Atlantic BlackRock Disciplined Growth Portfolio,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
14864,Global Atlantic BlackRock Disciplined Mid Cap Growth Portfolio,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
