cik,fund_rows,fund_aum,distinct_brand_eids,brand_eid,brand_name,brand_canonical_name,brand_entity_type
0001835531,78,134732477.88,1,27062,"Tax-Free High Grade Portfolio Target Maturity Fund for Puerto Rico Residents, Inc.","Tax-Free High Grade Portfolio Target Maturity Fund for Puerto Rico Residents, Inc.",institution
0000717854,1059,134664651.84000003,0,,,,
0001959353,132,134659092.16000003,1,27143,"Oxford Park Income Fund, Inc.","Oxford Park Income Fund, Inc.",institution
0001742838,2,134138901.25999999,1,27002,NB Crossroads Private Markets Fund VI Advisory LP,NB Crossroads Private Markets Fund VI Advisory LP,institution
0001998043,69,133945456.31999998,1,27166,Pearl Diver Credit Company Inc.,Pearl Diver Credit Company Inc.,institution
0000863900,60,132734379.27000001,1,26671,Mexico Equity and Income Fund,Mexico Equity and Income Fund,institution
0001478102,414,132176266.57000002,1,26882,Western Asset Mortgage Opportunity Fund Inc.,Western Asset Mortgage Opportunity Fund Inc.,institution
0002000182,84,131718450.41000003,1,27167,Denali Structured Return Strategy Fund,Denali Structured Return Strategy Fund,institution
0001186643,11,131572302.30999999,1,26771,A&Q Technology Fund LLC,A&Q Technology Fund LLC,institution
0001293530,212,130955450.31,1,19510,"Mundoval Capital Management, Inc.","Mundoval Capital Management, Inc.",institution
0001869040,292,130905111.40000007,1,27106,Lind Capital Partners Municipal Credit Income Fund,Lind Capital Partners Municipal Credit Income Fund,institution
0000810305,111,126279485.07000001,1,26,BNY Mellon / Dreyfus,BNY Mellon / Dreyfus,institution
0000075398,459,125262912.14,1,26607,Western Asset Investment Grade Income Fund Inc.,Western Asset Investment Grade Income Fund Inc.,institution
0001970466,36,125108660.73999998,1,27148,First Trust Hedged Strategies Fund,First Trust Hedged Strategies Fund,institution
0001607997,142,122902014.48000002,1,26949,Nuveen Minnesota Quality Municipal Income Fund,Nuveen Minnesota Quality Municipal Income Fund,institution
0000901246,240,122734659.58000001,1,20,Gabelli,Gabelli,institution
0001058587,394,120877075.47999999,1,19260,Upright Financial Corporation,Upright Financial Corporation,institution
0000890119,540,120705347.25000007,1,26694,Nuveen Select Maturities Municipal Fund,Nuveen Select Maturities Municipal Fund,institution
0001496292,308,119725971.81999996,1,26891,VOYA EMERGING MARKETS HIGH DIVIDEND EQUITY FUND,VOYA EMERGING MARKETS HIGH DIVIDEND EQUITY FUND,institution
0002016900,165,119692778.65000004,1,27186,Principal Private Credit Fund,Principal Private Credit Fund,institution
0001051219,123,118451898.20999998,1,19253,"Tanaka Capital Management, Inc.","Tanaka Capital Management, Inc.",institution
0002052411,193,118368588.95999998,1,27239,FT Vest Total Return Income Fund: Series B1,FT Vest Total Return Income Fund: Series B1,institution
0001208133,1926,117874486.44999996,1,1001,"Virtus Investment Advisers, LLC","Westchester Capital Management, LLC",institution
0001074692,72,117776655.15,1,26740,Eaton Vance California Municipal Income Trust,Eaton Vance California Municipal Income Trust,institution
0002021979,123,117533545.58000001,1,27194,First Trust Enhanced Private Credit Fund,First Trust Enhanced Private Credit Fund,institution
0001380192,128,116998055.84,1,12668,Pioneer Equity Premium Income Fund,Pioneer Equity Premium Income Fund,fund
0002069248,203,116205586.17000003,1,27257,FT Vest Total Return Income Fund: Series B3,FT Vest Total Return Income Fund: Series B3,institution
0001912938,151,112750681.75,1,27129,First Trust Private Assets Fund,First Trust Private Assets Fund,institution
0000876717,597,112309285.73000005,1,26674,"ABRDN GLOBAL INCOME FUND, INC.","ABRDN GLOBAL INCOME FUND, INC.",institution
0001391839,645,110784408.18,1,20,Gabelli,Gabelli,institution
0002044327,11,110301557.6,1,27229,C1 Fund Inc.,C1 Fund Inc.,institution
0001041003,163,109401299.35000001,1,19208,"Boyar Asset Management, Inc.","Boyar Asset Management, Inc.",institution
0001779306,357,109297671.13999997,0,,,,
0001472215,152,108400233.84999998,1,26878,Nuveen Mortgage and Income Fund,Nuveen Mortgage and Income Fund,institution
0001949594,737,108358682.38000004,1,27138,Fidelity Multi-Strategy Credit Fund,Fidelity Multi-Strategy Credit Fund,institution
0001851077,928,106732586.64999986,1,27085,PIMCO Flexible Emerging Markets Income Fund,PIMCO Flexible Emerging Markets Income Fund,institution
0001903070,90,106510128.10999995,1,27123,Hartford Schroders Private Opportunities Fund,Hartford Schroders Private Opportunities Fund,institution
0001219064,210,106476120.02000001,1,3100,Fred Alger,"Redwood Investments, LLC",institution
0002050541,176,105012993.27,1,27235,First Eagle Tactical Municipal Opportunities Fund,First Eagle Tactical Municipal Opportunities Fund,institution
0002000645,134,103224016.39999998,1,27168,Octagon XAI CLO Income Fund,Octagon XAI CLO Income Fund,institution
0000798290,90,102660662.25000007,1,18354,HSBC Global Asset Management (USA) Inc.,HSBC Global Asset Management (USA) Inc.,institution
0002015799,753,102072551.74000001,2,17960,Lincoln Financial Investments Corporation,Schroder Investment Management North America Inc.,institution
