block,series_id,fund_name,current_value,proposed_value,source,new_strategy_source,support_quarter,support_row_count,support_sum_mv,support_implied_nav
B,S000002529,MFS Arkansas Municipal Bond Fund,,140176538.33,canonical_nport,orphan_backfill_2026Q2,2025Q4,187,141316608.65,140176538.33
B,S000002530,MFS California Municipal Bond Fund,,747698468.21,canonical_nport,orphan_backfill_2026Q2,2025Q4,409,744738620.55,747698468.21
B,S000002532,MFS Georgia Municipal Bond Fund,,117505652.74,canonical_nport,orphan_backfill_2026Q2,2025Q4,189,117207637.38,117505652.74
B,S000002533,MFS Maryland Municipal Bond Fund,,155248398.45,canonical_nport,orphan_backfill_2026Q2,2025Q4,230,153827380.39,155248398.45
B,S000002534,MFS Massachusetts Municipal Bond Fund,,401013442.72,canonical_nport,orphan_backfill_2026Q2,2025Q4,270,396330549.25,401013442.72
B,S000002535,MFS Mississippi Municipal Bond Fund,,63199951.29,canonical_nport,orphan_backfill_2026Q2,2025Q4,131,62902256.41,63199951.29
B,S000002536,MFS Municipal Income Fund,,6646707088.97,canonical_nport,orphan_backfill_2026Q2,2025Q4,2252,6598422222.65,6646707088.97
B,S000002663,Series M,,325475842.19,canonical_nport,orphan_backfill_2026Q2,2025Q4,71,322362731.79,325475842.19
B,S000003467,Sit Tax-Free Income Fund,,126555913.02,canonical_nport,orphan_backfill_2026Q2,2025Q4,304,121864688.66,126555913.02
B,S000003468,Sit Minnesota Tax-Free Income Fund,,377473440.08,canonical_nport,orphan_backfill_2026Q2,2025Q4,250,369773478.76,377473440.08
B,S000003821,Viking Tax-Free Fund for Montana,,52504390.24,canonical_nport,orphan_backfill_2026Q2,2026Q1,79,50959864.40,52504390.24
B,S000005235,HIGH INCOME OPPORTUNITIES PORTFOLIO,,1787449537.67,canonical_nport,orphan_backfill_2026Q2,2026Q1,494,1774286635.97,1787449537.67
B,S000005237,Core Bond Portfolio,,758978659.07,canonical_nport,orphan_backfill_2026Q2,2025Q4,386,841249533.55,758978659.07
B,S000005247,Global Macro Portfolio,,3455023263.17,canonical_nport,orphan_backfill_2026Q2,2026Q1,1284,3308213578.90,3455023263.17
