entity_id,canonical_name,entity_type_entities,ECH_source,institution_aum_usd,fund_rollup_aum_usd,signal_A_hit,signal_B_hit,signal_C_hit,signal_C_label,signal_D_hit,signal_D_value,signal_E_hit,signal_E_value,tier,recommended_wave,rationale
1920,Thames River Capital LLP,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
4021,"Hellman & Friedman Investors VIII, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
5898,"Wabon Partners, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
6160,"Silver Lake Technology Associates V, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
6516,"Silver Lake Technology Associates V Marquee, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
6772,Atlas Capital GP IV LP,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
8698,THRU LINE L.P.,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
10236,Longview Partners LLP,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
18926,Federated Hermes (UK) LLP,institution,default_unknown,0.0,0.0,False,True,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
19646,NS Partners Ltd.,institution,default_unknown,0.0,0.0,False,True,False,,False,,False,,B,4,N-CEN role=subadviser only (no class signal)
20101,"Tactical Fund Advisors, LLC",institution,default_unknown,0.0,0.0,False,True,False,,False,,False,,B,4,N-CEN role=adviser only (no class signal)
20135,"Christian Brothers Investment Services, Inc.",institution,default_unknown,0.0,0.0,False,True,False,,False,,False,,B,4,N-CEN role=adviser only (no class signal)
2490,"Wolverine Holdings, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
2859,"Bain Capital Venture Partners 2016, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
3176,Deer VIII & Co. L.P.,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
4736,"SC U.S. VENTURE XIV MANAGEMENT, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
5833,Theleme Special Purpose Fund I LP,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
6110,"ECP GP V, LP",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
9028,"Stoneleigh Partners, LP",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
9796,"HSG Venture IV Management, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
10952,Symmetry Investments UK LLP,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
17942,Boston Management and Research,institution,default_unknown,0.0,0.0,False,True,False,,False,,False,,B,4,N-CEN role=adviser only (no class signal)
149,StoneX Advisors Inc.,institution,managers,0.0,0.0,True,False,False,,False,,False,,B,4,ADV present but strategy_inferred=unknown
2144,"BCPE Watson (DE) Aggregator, LP",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
