outer_top_parent,outer_family,family_match,n_rows,aum_b
87.0,Delaware Group Income Funds,extra_family,1,0.005225
87.0,Delaware VIP Trust,extra_family,36,0.45122614893
87.0,Delaware VIP Trust,unknown_match,1,0.0120929934
87.0,IVY FUNDS,extra_family,67,2.7203284554700002
87.0,Ivy Variable Insurance Portfolios,extra_family,126,1.3215805226
87.0,Nomura ETF Trust,extra_family,8,0.034055475489999994
136.0,First Trust Exchange-Traded AlphaDEX Fund,extra_family,558,2.44231511366
136.0,First Trust Exchange-Traded AlphaDEX Fund,intra_family,49,0.10879303027
136.0,First Trust Exchange-Traded AlphaDEX Fund,unknown_match,4,0.0080357895
136.0,First Trust Exchange-Traded AlphaDEX Fund II,extra_family,47,0.07364722859999999
136.0,First Trust Exchange-Traded AlphaDEX Fund II,intra_family,2,3.230425e-05
136.0,First Trust Exchange-Traded Fund,extra_family,282,8.807191309650001
136.0,First Trust Exchange-Traded Fund,intra_family,22,0.06494634532999999
136.0,First Trust Exchange-Traded Fund,unknown_match,2,0.17654723310000003
136.0,First Trust Exchange-Traded Fund II,extra_family,89,2.8104181044499996
136.0,First Trust Exchange-Traded Fund II,intra_family,6,0.009601336719999999
136.0,First Trust Exchange-Traded Fund II,unknown_match,1,0.0001975634
136.0,First Trust Exchange-Traded Fund III,extra_family,118,0.38073892873000004
136.0,First Trust Exchange-Traded Fund III,intra_family,5,-0.0016817696600000002
136.0,First Trust Exchange-Traded Fund IV,extra_family,107,1.9679792804599998
136.0,First Trust Exchange-Traded Fund IV,intra_family,20,0.0733072166
136.0,First Trust Exchange-Traded Fund VI,extra_family,400,9.601343071610001
136.0,First Trust Exchange-Traded Fund VI,intra_family,52,4.27461600628
136.0,First Trust Exchange-Traded Fund VIII,extra_family,341,12.62257063634
136.0,First Trust Exchange-Traded Fund VIII,intra_family,21,0.16645248096999996
136.0,First Trust Series Fund,extra_family,5,0.0010855771400000002
136.0,First Trust Variable Insurance Trust,extra_family,61,0.07485739717
136.0,First Trust Variable Insurance Trust,intra_family,8,0.00834557953
194.0,LoCorr Investment Trust,extra_family,65,0.008004554189999999
194.0,LoCorr Investment Trust,unknown_match,1,3.3621e-05
194.0,"RBB Fund, Inc.",extra_family,7,0.02882903499
195.0,Guggenheim Funds Trust,extra_family,14,0.23460040944
195.0,Guggenheim Funds Trust,intra_family,11,0.57655062212
195.0,Guggenheim Variable Funds Trust,extra_family,3,0.00166895955
195.0,Guggenheim Variable Funds Trust,intra_family,2,0.02870122119
195.0,GuideStone Funds,extra_family,31,0.12159969429999999
223.0,Monteagle Funds,extra_family,9,0.004393044
224.0,Managed Portfolio Series,extra_family,132,2.44351107063
229.0,Aristotle Fund Series Trust,extra_family,6,0.21105316681
252.0,WASATCH FUNDS TRUST,extra_family,9,0.00056436557
257.0,The Jensen Quality Growth Fund Inc.,extra_family,4,0.910081125
285.0,Virtus Investment Trust,extra_family,54,0.28469321207000003
285.0,Virtus Strategy Trust,extra_family,3,0.00026307494
287.0,1290 Funds,extra_family,33,0.04572474132
287.0,EQ Advisors Trust,unknown_match,79,0.66920399451
294.0,Exchange Place Advisors Trust,extra_family,1,0.00709109555
294.0,Exchange Place Advisors Trust,intra_family,2,0.01167115047
297.0,Franklin Templeton Variable Insurance Products Trust,extra_family,1,0.01516751157
297.0,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,extra_family,82,0.08306968128
297.0,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,intra_family,2,0.00256617675
297.0,Templeton Institutional Funds,extra_family,1,0.00105304725
299.0,Nationwide Mutual Funds,extra_family,2,0.0048582528
300.0,Schwartz Investment Trust,extra_family,26,0.4943895886100001
304.0,"MFG Funds, Inc.",extra_family,15,0.01919533761
311.0,JNL Series Trust,extra_family,19,0.09120929469
312.0,The Tocqueville Trust,extra_family,12,0.11043465
313.0,Cullen Funds Trust,extra_family,42,0.45721773128000004
326.0,Nationwide Mutual Funds,extra_family,33,0.21238729261000003
326.0,Optimum Fund Trust,extra_family,13,0.06261175465999999
326.0,"Principal Funds, Inc",extra_family,187,0.16211304802
326.0,Wilshire Mutual Funds Inc,extra_family,29,0.05759531916
