relationship_id,parent_entity_id,parent_name,parent_aum,parent_cik,child_entity_id,child_name,child_aum,child_cik,relationship_type,category
12190,4114,RP Holding Group LLC,0.0,0001696130,4887,"Plante Moran Financial Advisors, LLC",23152747360.0,0001424717,wholly_owned,E
11638,3404,Pictet Asset Management Holding SA,0.0,0001993888,2284,PICTET ASSET MANAGEMENT LTD,21396655451.0,0001291274,wholly_owned,E
11806,4187,Paloma Partners Advisors LP,0.0,0001633870,3587,Paloma Partners Management Co,20803344712.0,0001103882,mutual_structure,E
13171,4322,Vert Asset Management LLC,0.0,0001904664,7769,"Crestline Management, LP",20492502090.0,0001536054,wholly_owned,E
12549,3498,Stonehage Fleming Financial Services Holdings Ltd,0.0,0001786379,1535,Stonehage Fleming Investment Management Ltd,19491227077.0,0001786380,wholly_owned,E
12095,601,C WorldWide Group Holding A/S,0.0,0001625244,892,C WorldWide Asset Management Fondsmaeglerselskab A/S,18483169161.0,0001605504,wholly_owned,E
12564,8253,Pinnacle Investment Management Ltd,0.0,0002056734,7668,Life Cycle Investment Partners Ltd,17298902759.0,0002072459,parent_brand,E
11668,2399,BARINGS LLC,0.0,0000009015,7799,Baring International Investment Ltd,17061336975.0,0001568131,wholly_owned,E
11887,4723,RAYMOND JAMES FINANCIAL INC,0.0,0000720005,152,"CARILLON TOWER ADVISERS, INC.",16864326714.0,0001715163,wholly_owned,E
12060,8353,"Deerfield UGP, LLC",0.0,0002078971,11155,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",16051603884.0,0001009258,mutual_structure,E
11686,4635,"FEDERATED HERMES, INC.",0.0,0001056288,7641,FEDERATED GLOBAL INVESTMENT MANAGEMENT CORP,14819533515.0,0001086431,wholly_owned,E
12494,4723,RAYMOND JAMES FINANCIAL INC,0.0,0000720005,2945,"CHARTWELL INVESTMENT PARTNERS, LLC",12971188682.0,0001616525,wholly_owned,E
12173,8705,WESTWOOD HOLDINGS GROUP INC,0.0,0001165002,175,WESTWOOD MANAGEMENT CORP /TX,12802824273.0,0000949471,wholly_owned,E
11796,4635,"FEDERATED HERMES, INC.",0.0,0001056288,1579,FEDERATED EQUITY MANAGEMENT CO OF PENNSYLVANIA,12785649712.0,0001279012,wholly_owned,E
12521,8473,NEW YORK LIFE INVESTMENT MANAGEMENT LLC,113162976263.0,0001133639,7728,Ausbil Investment Management Ltd,12626303388.0,0001966036,wholly_owned,E
11869,4556,"Siren, L.L.C.",0.0,0002005245,8487,"Invus Financial Advisors, LLC",12584167776.0,0001802978,parent_brand,E
12088,10420,"E Fund Management Co., Ltd.",0.0,0001842296,7592,"E Fund Management (Hong Kong) Co., Ltd.",12463604501.0,0001777469,wholly_owned,E
11626,18029,"Fayez Sarofim & Co., LLC",0.0,,858,Sarofim Trust Co,11986326976.0,0000230518,wholly_owned,E
11773,4635,"FEDERATED HERMES, INC.",0.0,0001056288,6221,FEDERATED MDTA LLC,11663958404.0,0001056508,wholly_owned,E
12411,7149,"AAF Wealth Management, LLC",0.0,0001726609,866,Arax Advisory Partners,11304032152.0,0001586767,wholly_owned,E
11961,1110,"Mork Capital Management, LLC",0.0,0001626494,6231,MAVERICK CAPITAL LTD,10287841622.0,0000934639,mutual_structure,E
12213,2920,MORGAN STANLEY,1650015946338.0,0000895421,10493,MORGAN STANLEY INVESTMENT MANAGEMENT CO,10087413018.0,0001270238,wholly_owned,E
12428,4805,FRANKLIN RESOURCES INC,0.0,0000038777,2995,MARTIN CURRIE INVESTMENT MANAGEMENT LTD,9892865574.0,0001034882,wholly_owned,E
12543,2379,"PHYSICIANS FINANCIAL SERVICES, INC.",0.0,0001665518,5019,"CW Advisors, LLC",9301984860.0,0001904976,wholly_owned,E
12082,10046,Pendal Group Ltd,0.0,0001541741,808,JOHCM (USA) Inc,9010576370.0,0002031636,wholly_owned,E
11685,10697,"B Group, Inc.",0.0,0002043476,11166,CBRE INVESTMENT MANAGEMENT LISTED REAL ASSETS LLC,8971391447.0,0001033984,wholly_owned,E
11985,3809,Impax Asset Management Group plc,0.0,0001749768,2914,IMPAX ASSET MANAGEMENT LLC,8942785264.0,0001127990,wholly_owned,E
13511,2759,"DC Investments Management, LLC",0.0,0001565951,137,CAZ INVESTMENTS LP,8653972299.0,0001159363,mutual_structure,E
12513,9137,"Mariner Platform Solutions, LLC",5615227678.0,0001846208,10497,"MARINER INDEPENDENT ADVISOR NETWORK, LLC",8486309662.0,0001548916,wholly_owned,E
12515,1444,"Leonard Green & Partners, L.P.",0.0,0001175523,10497,"MARINER INDEPENDENT ADVISOR NETWORK, LLC",8486309662.0,0001548916,wholly_owned,E
12215,2850,CARY STREET PARTNERS FINANCIAL LLC,0.0,0001475045,2290,CARY STREET PARTNERS INVESTMENT ADVISORY LLC,8263891736.0,0001766904,wholly_owned,E
