crd,firm_name,entity_id,entity_type,aum_billions,total_parsed_rows,individuals_found,entities_no_code,entities_with_code,classification,action,reason,best_match_name,best_match_score,best_match_target
105637,"THE HARBOR GROUP, INC.",322,institution,1.73,6,3,3,0,ENTITY_NO_CODE,REVIEW,3 entities missing ownership code,,,
323369,SP ASSET MANAGEMENT LLC,8580,institution,1.71,7,5,0,2,PARSER_GAP,REVIEW,2 entities with codes but no relationship type,,,
106550,"JNBA FINANCIAL ADVISORS, LLC",3106,institution,1.68,5,3,2,0,ENTITY_NO_CODE,REVIEW,2 entities missing ownership code,,,
120361,"MAIN MANAGEMENT, LLC",10617,institution,1.65,9,8,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
158544,NAPLES GLOBAL ADVISORS,11222,institution,1.65,9,8,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
308203,"QUENT CAPITAL, LLC",6407,institution,1.65,8,6,0,2,PARSER_GAP,REVIEW,2 entities with codes but no relationship type,,,
20999,"CALTON & ASSOCIATES, INC.",7033,institution,1.58,14,13,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
328398,"TRITONPOINT WEALTH, LLC",4880,institution,1.54,5,4,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
105910,"LEE FINANCIAL COMPANY, LLC",9961,institution,1.5,11,9,1,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
282707,RW INVESTMENT MANAGEMENT LLC,3744,institution,1.47,5,3,0,2,PARSER_GAP,REVIEW,2 entities with codes but no relationship type,,,
107346,"VIRTUS CAPITAL ADVISERS, LLC",5696,institution,1.45,6,5,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
130449,"COURAGE CAPITAL MANAGEMENT, LLC",7733,institution,1.44,15,14,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
149108,"TELOS CAPITAL MANAGEMENT, INC.",3062,institution,1.42,5,4,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
107545,THIRD AVENUE MANAGEMENT LLC,135,institution,1.36,3,0,3,0,ENTITY_NO_CODE,REVIEW,3 entities missing ownership code,,,
283112,"GILBERT & COOK, INC.",9915,institution,1.36,14,10,0,4,PARSER_GAP,REVIEW,4 entities with codes but no relationship type,,,
107066,"OAK RIDGE INVESTMENTS, LLC",10646,institution,1.31,5,4,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
148156,TRIANGLE WEALTH MANAGEMENT,2966,institution,1.29,10,9,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
135879,"ALLEN CAPITAL GROUP, LLC",6371,institution,1.22,8,7,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
149230,"EVERMAY WEALTH MANAGEMENT, LLC",2355,institution,1.18,13,11,0,2,PARSER_GAP,REVIEW,2 entities with codes but no relationship type,,,
110672,NEUMEIER POMA INVESTMENT COUNSEL LLC,1670,institution,1.09,6,5,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
283066,STONY POINT CAPITAL,5132,institution,1.09,6,5,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
105826,LEUTHOLD WEEDEN CAPITAL MANAGEMENT,10519,institution,1.08,8,7,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
143771,"CYPRESS POINT WEALTH MANAGEMENT, LLC",7047,institution,1.07,7,5,1,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
109127,PORTLAND GLOBAL ADVISORS LLC,9200,institution,1.01,5,4,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
155200,"TRIGRAN INVESTMENTS, INC.",10648,institution,0.95,5,4,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
109993,"OARSMAN CAPITAL, INC",3665,institution,0.93,16,13,0,3,PARSER_GAP,REVIEW,3 entities with codes but no relationship type,,,
104635,DEAN INVESTMENTS,10481,institution,0.9,4,3,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
22090,CHRISTOPHER WEIL & CO INC,6944,institution,0.9,18,12,0,6,PARSER_GAP,REVIEW,6 entities with codes but no relationship type,,,
107049,"TRAN CAPITAL MANAGEMENT, L.P.",9845,institution,0.89,6,3,3,0,ENTITY_NO_CODE,REVIEW,3 entities missing ownership code,,,
298774,"CORRECT CAPITAL WEALTH MANAGEMENT, LLC",7680,institution,0.89,8,6,0,2,PARSER_GAP,REVIEW,2 entities with codes but no relationship type,,,
161985,"SIMCOE CAPITAL MANAGEMENT, LLC",2244,institution,0.87,3,2,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
282851,NUMERAI,6399,institution,0.84,4,2,0,2,PARSER_GAP,REVIEW,2 entities with codes but no relationship type,,,
105885,EQUINOX PARTNERS INVESTMENT MANAGEMENT LLC,3550,institution,0.78,4,3,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
107227,WHELAN FINANCIAL,6969,institution,0.78,11,8,0,3,PARSER_GAP,REVIEW,3 entities with codes but no relationship type,,,
119859,"ADVANCED ASSET MANAGEMENT ADVISORS, INC.",3006,institution,0.74,4,2,0,2,PARSER_GAP,REVIEW,2 entities with codes but no relationship type,,,
156660,MOUNTAIN CAPITAL INVESTMENT ADVISORS INC,1566,institution,0.74,5,4,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
305849,BAILLIE GIFFORD INTERNATIONAL LLC,9198,institution,0.72,60,57,3,0,ENTITY_NO_CODE,REVIEW,3 entities missing ownership code,,,
108542,"SKBA CAPITAL MANAGEMENT, LLC",3657,institution,0.66,7,6,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
307667,ASCEND INVESTMENT PARTNERS,5009,institution,0.62,10,6,0,4,PARSER_GAP,REVIEW,4 entities with codes but no relationship type,,,
109962,"ESSEX INVESTMENT MANAGEMENT COMPANY, LLC",1029,institution,0.61,16,11,0,5,PARSER_GAP,REVIEW,5 entities with codes but no relationship type,,,
106984,AMERICA FIRST INVESTMENT ADVISORS LLC,9907,institution,0.59,7,6,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
106336,"WBI INVESTMENTS, LLC",1000,institution,0.55,6,5,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
114702,"CORUS FAMILY WEALTH ADVISORS, INC.",4350,institution,0.54,4,3,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
