filer_cik,filer_name,filing_count,targets,latest_filing,earliest_filing,last_form_type,auto_classification,manual_classification,existing_entity_id,action,notes
1068238,"CBI USA, Inc.",1,1,2022-06-01,2022-06-01,SC 13D,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1063028,STONE RICHARD B,1,1,2022-02-14,2022-02-14,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1996395,SwissMarine Pte. Ltd.,1,1,2024-01-09,2024-01-09,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1705162,Intermediate Capital Group plc,1,1,2023-03-08,2023-03-08,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1890568,KKR Phoenix Aggregator L.P.,1,1,2024-09-18,2024-09-18,SC 13D,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1879373,Energem Corp,1,1,2022-02-14,2022-02-14,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1858469,Li Jianwei,1,1,2022-03-17,2022-03-17,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1520378,Zartler William A,1,1,2023-02-16,2023-02-16,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1487018,Paxton Mark Alan,1,1,2022-02-09,2022-02-09,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1246518,GOTTWALD THOMAS E,1,1,2024-11-27,2024-11-27,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1998050,Xiang Shaoqing,1,1,2024-02-07,2024-02-07,SC 13G,INSTITUTION,INDIVIDUAL,,,
1901886,"Aura Fat Projects Acquisition Corp  (AFAR, AFARU, AFARW)",1,1,2024-02-13,2024-02-13,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1838162,"Slam Corp.  (SLAMF, SLMUF, SLMWF)",1,1,2024-11-14,2024-11-14,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1889614,2018 Reed Dynasty Trust,1,1,2022-01-07,2022-01-07,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1628280,Ivan Kaufman,1,1,2024-02-12,2024-02-12,SC 13G,INSTITUTION,EXCLUDE,,,multi-filer CIK data quality issue — skip
1434592,Morford Craig S,1,1,2024-02-09,2024-02-09,SC 13G,INSTITUTION,INDIVIDUAL,,,
1425355,"Mill City Ventures III, Ltd",1,1,2023-11-30,2023-11-30,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as venture_capital","auto-classified, single-filing filer, low priority"
943374,Everett Co-Operative Bank Employee Stock Ownership Plan Trust,1,1,2023-01-30,2023-01-30,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
