investor_name,ciks,positions,aum_mm,total_shares
Glencore plc,1,1,4333.1,68812050
"Nicholas Hoffman & Company, LLC.",1,314,4312.7,34831250
Folketrygdfondet,1,4,4296.8,203867956
"Wilmington Savings Fund Society, FSB",1,1249,4261.6,42416906
"Metis Global Partners, LLC",1,720,4231.1,50692045
Peconic Partners LLC,1,14,4208.0,19126940
Millburn Ridgefield LLC /DE/,1,36,4197.7,45794815
"Uber Technologies, Inc",1,4,4187.2,884936393
"H&F Corporate Investors X, Ltd.",1,1,4179.6,99514069
Itau Unibanco Holding S.A.,1,321,4172.5,173112428
Banque Transatlantique SA,1,252,4126.4,16882369
"CreativeOne Wealth, LLC",1,985,4124.6,54073140
Munich Reinsurance Co Stock Corp in Munich,1,195,4112.7,37654458
"Ashton Thomas Private Wealth, LLC",1,892,4102.1,56135425
Chicago Partners Investment Group LLC,1,1159,4058.1,62191808
"Chicago Capital, LLC",1,348,4048.8,27735117
Cary Street Partners Financial LLC,1,892,4038.0,48835025
Lindsell Train Ltd,1,27,3943.4,30735105
Avanza Fonder AB,1,483,3942.8,24899818
Arbejdsmarkedets Tillaegspension,1,161,3925.4,43489787
"BlueSpruce Investments, LP",1,9,3918.5,10497506
Associated Banc-Corp,1,322,3906.3,27598783
"SBI Securities Co., Ltd.",1,3264,3889.9,46786849
"MassMutual Private Wealth & Trust, FSB",1,2190,3885.8,29645759
"Dai-ichi Life Insurance Company, Ltd",1,475,3883.0,24600161
Fisher Funds Management LTD,1,160,3873.6,27034543
"HUB Investment Partners, LLC",1,783,3862.7,42528784
Munro Partners,1,57,3849.6,21145163
XTX Topco Ltd,1,2675,3808.3,183613056
Journey Strategic Wealth LLC,1,718,3805.2,24630385
"Zimmer Partners, LP",1,112,3795.1,188169241
"Quotient Wealth Partners, LLC",1,345,3757.5,45275566
"Frazier Life Sciences Management, L.P.",1,38,3723.2,163702779
"Advisory Alpha, LLC",1,487,3672.4,71580562
Sumitomo Life Insurance Co,1,275,3651.9,62581079
"Americana Partners, LLC",1,429,3642.8,43750884
Mirae Asset Securities (usa) Inc.,1,92,3634.9,30908653
Sigma Planning Corp,1,1104,3622.7,45519747
DJE Kapital AG,1,106,3619.2,25821008
Farmers & Merchants Investments Inc,1,1669,3618.8,28472036
SurgoCap Partners LP,1,16,3612.1,31309644
"Mufg Securities (canada), Ltd.",1,42,3595.3,55060185
"Avantax Planning Partners, Inc.",1,420,3575.2,82319436
XN LP,1,26,3568.3,30989278
"Edgestream Partners, L.P.",1,900,3553.6,62527725
DV Trading LLC,1,953,3551.8,25457240
Mitsui Sumitomo Insurance Co Ltd,1,1,3542.9,50526511
Salem Investment Counselors Inc,1,376,3540.9,26844516
Amazon Com Inc,1,6,3521.4,172084661
"Aspiriant, LLC",1,304,3480.6,30469828
Meiji Yasuda Life Insurance Co,1,218,3450.6,37751656
Private Management Group Inc,1,288,3434.8,209360922
Lincoln National Corp,1,20,3420.7,37494128
Voyager Global Management LP,1,9,3419.5,12590000
"Compound Planning, Inc.",1,1117,3409.6,46814978
BLI - Banque de Luxembourg Investments,1,175,3408.4,22661770
Addenda Capital Inc.,1,123,3407.8,31376722
"Freestone Capital Holdings, LLC",1,499,3379.7,26592310
"Swan Global Investments, LLC",1,53,3378.4,28647286
Guardian Capital LP,1,154,3372.3,44188513
Adventist Health System Sunbelt Healthcare Corp,1,16,3358.8,44573818
"Siren, L.L.C.",1,106,3352.4,217601012
"TCTC Holdings, LLC",1,583,3346.9,35314180
"Lighthouse Investment Partners, LLC",1,775,3331.9,87727427
"SummitTX Capital, L.P.",1,642,3318.3,50532121
Comprehensive Financial Management LLC,1,35,3316.9,48964224
"Foster Group, Inc.",1,295,3307.8,45874735
"Plancorp, LLC",1,335,3307.7,52812463
Cohen Klingenstein LLC,1,198,3291.2,13604212
Paulson & Co. Inc.,1,8,3262.0,219057839
"NZS Capital, LLC",1,60,3260.1,24213116
"Karpus Management, Inc.",1,122,3256.2,199086924
Hancock Prospecting Pty Ltd,1,28,3254.5,59571194
Stonehage Fleming Financial Services Holdings Ltd,1,213,3251.6,14094457
"Nan Shan Life Insurance Co., Ltd.",1,81,3250.9,54124835
"Senvest Management, LLC",1,48,3227.1,95314493
Meritage Group LP,1,10,3215.7,20795424
"Yarbrough Capital, LLC",1,150,3212.2,16139105
Burney Co/,1,591,3207.5,30749326
Park National Corp /OH/,1,305,3206.4,30591708
Meyer Handelman Co,1,208,3193.7,21161025
Matson Money. Inc.,1,9,3164.2,51447297
"Diversify Advisory Services, LLC",1,850,3159.1,37747632
Focused Investors LLC,1,22,3141.1,14729800
Metropolis Capital Ltd,1,15,3130.5,29195496
Braidwell LP,1,69,3127.0,502170699
"Bracebridge Capital, LLC",1,13,3116.7,69084143
Dynamic Advisor Solutions LLC,1,831,3116.4,45306917
Venture Visionary Partners LLC,1,585,3068.3,33939207
DeepCurrents Investment Group LLC,1,120,3051.9,2297027358
Covea Finance,1,127,3034.8,18657912
Dixon Mitchell Investment Counsel Inc.,1,141,3031.8,26768589
"Joel Isaacson & Co., LLC",1,437,3028.6,21710947
"Fund Evaluation Group, LLC",1,60,3023.1,53825965
"TCG Crossover Management, LLC",1,40,3021.7,142379962
Cooperman Leon G,1,38,3014.0,100567940
"Cartenna Capital, LP",1,36,3005.8,32351283
"Cable Car Capital, LP",1,53,3005.3,88681154
Conning Inc.,1,338,2986.5,152974743
Bvf Inc /IL/,1,38,2970.7,198877974
Sprott Inc.,1,176,2962.2,202666371
"SageView Advisory Group, LLC",1,2307,2957.6,46038618
Bls Capital Fondsmaeglerselskab A/s,1,12,2950.5,23383854
Hirtle Callaghan & Co LLC,1,107,2937.2,28622281
Gts Securities LLC,1,875,2932.2,58474891
"Ascent Group, LLC",1,723,2925.2,28913458
Saudi Electronic Games Holding Co,1,1,2922.5,11414680
"Alpha Cubed Investments, LLC",1,284,2922.3,15073972
Michael & Susan Dell Foundation,1,8,2884.7,12347670
Wedmont Private Capital,1,783,2878.2,33049886
BNDES Participacoes S.A.,1,0,2874.1,199311644
"General Atlantic, L.P.",1,8,2872.7,158594943
Schwartz Investment Counsel Inc,1,130,2861.2,30527590
"Maplelane Capital, LLC",1,47,2841.0,28921176
"BIP Wealth, LLC",1,401,2833.2,38197707
Banque Cantonale Vaudoise,1,759,2800.8,32782729
"Nfj Investment Group, LLC",1,218,2779.3,39186296
"American Family Investments, Inc.",1,11,2778.4,49658076
Greenhouse Funds LLLP,1,31,2768.5,119597008
"Avidian Wealth Enterprises, LLC",1,537,2747.9,36274845
"Integrity Alliance, LLC.",1,668,2741.7,37211133
GLOBALT Investments LLC / GA,1,148,2739.5,37530924
Sowell Financial Services LLC,1,992,2722.3,36778045
BIT Capital GmbH,1,85,2718.0,57301200
