crd,firm_name,legal_name,city,state,aum_billions,name_match_score,flag
128450,"CHANNING CAPITAL MANAGEMENT, LLC","CHANNING CAPITAL MANAGEMENT, LLC",CHICAGO,IL,3.9,100,MINOR_VARIANT
111295,"SAND HILL GLOBAL ADVISORS, LLC","SAND HILL GLOBAL ADVISORS, LLC",PALO ALTO,CA,3.88,100,MINOR_VARIANT
136713,"CYRUS CAPITAL PARTNERS, L.P.","CYRUS CAPITAL PARTNERS, L.P.",NEW YORK,NY,3.87,100,MINOR_VARIANT
105899,TIMUCUAN ASSET MANAGEMENT INC,TIMUCUAN ASSET MANAGEMENT INC,JACKSONVILLE,FL,3.86,100,MINOR_VARIANT
110397,ZWJ INVESTMENT COUNSEL INC,ZWJ INVESTMENT COUNSEL INC,ATLANTA,GA,3.86,100,MINOR_VARIANT
288863,ARKADIOS WEALTH ADVISORS,ARKADIOS WEALTH ADVISORS LLC,ATLANTA,GA,3.86,92,MINOR_VARIANT
104855,SALEM INVESTMENT COUNSELORS INC,SALEM INVESTMENT COUNSELORS INC,WINSTON SALEM,NC,3.84,100,MINOR_VARIANT
128221,VAN BERKOM AND ASSOCIATES INC.,VAN BERKOM AND ASSOCIATES INC.,"MONTREAL, QUEBEC",,3.8,100,MINOR_VARIANT
149320,"BIENVILLE CAPITAL MANAGEMENT, LLC","BIENVILLE CAPITAL MANAGEMENT, LLC",NEW YORK,NY,3.75,100,MINOR_VARIANT
105439,ACCREDITED INVESTORS WEALTH MANAGEMENT,ACCREDITED INVESTORS INC,EDINA,MN,3.72,65,DBA_MISMATCH
111273,"THE WELCH GROUP, LLC","THE WELCH GROUP, LLC",BIRMINGHAM,AL,3.68,100,MINOR_VARIANT
104693,SCHWARTZ INVESTMENT COUNSEL INC,SCHWARTZ INVESTMENT COUNSEL INC,PLYMOUTH,MI,3.65,100,MINOR_VARIANT
105098,BARKSDALE INVESTMENT MANAGEMENT,"WEAVER C. BARKSDALE & ASSOCIATES, INC.",NASHVILLE,TN,3.63,43,DBA_MISMATCH
116574,SAGE FINANCIAL GROUP INC.,SAGE FINANCIAL GROUP INC.,WEST CONSHOHOCKEN,PA,3.62,100,MINOR_VARIANT
163427,SPRUCE HOUSE INVESTMENT MANAGEMENT LLC,SPRUCE HOUSE INVESTMENT MANAGEMENT LLC,NEW YORK,NY,3.55,100,MINOR_VARIANT
107148,"FOSTER GROUP, INC.","FOSTER GROUP, INC.",WEST DES MOINES,IA,3.54,100,MINOR_VARIANT
110003,MANCHESTER CAPITAL MANAGEMENT LLC,MANCHESTER CAPITAL MANAGEMENT LLC,MANCHESTER,VT,3.54,100,MINOR_VARIANT
108147,DEARBORN PARTNERS L.L.C.,DEARBORN PARTNERS L.L.C.,CHICAGO,IL,3.53,100,MINOR_VARIANT
166102,"ELECTRON CAPITAL PARTNERS, LLC","ELECTRON CAPITAL PARTNERS, LLC",NEW YORK,NY,3.53,100,MINOR_VARIANT
158282,"ADVISORY ALPHA, LLC","ADVISORY ALPHA, LLC",HOLLAND,MI,3.47,100,MINOR_VARIANT
594,"MOORS & CABOT, INC","MOORS & CABOT, INC.",BOSTON,MA,3.44,97,MINOR_VARIANT
155733,"FLAGSHIP HARBOR ADVISORS, LLC","FLAGSHIP HARBOR ADVISORS, LLC",BOSTON,MA,3.42,100,MINOR_VARIANT
104545,HENSSLER FINANCIAL,"G. W. HENSSLER & ASSOCIATES, LTD",KENNESAW,GA,3.4,52,DBA_MISMATCH
109392,TANDEM INVESTMENT ADVISORS INC,TANDEM INVESTMENT ADVISORS INC,CHARLESTON,SC,3.36,100,MINOR_VARIANT
104726,HOWLAND CAPITAL MANAGEMENT LLC,HOWLAND CAPITAL MANAGEMENT LLC,BOSTON,MA,3.32,100,MINOR_VARIANT
105051,NORTHEAST INVESTMENT MANAGEMENT INC,NORTHEAST INVESTMENT MANAGEMENT INC,BOSTON,MA,3.27,100,MINOR_VARIANT
287617,INVENOMIC CAPITAL MANAGEMENT LP,INVENOMIC CAPITAL MANAGEMENT LP,BOSTON,MA,3.21,100,MINOR_VARIANT
169576,VENTURI PRIVATE WEALTH,"VENTURI WEALTH MANAGEMENT, LLC",AUSTIN,TX,3.18,65,DBA_MISMATCH
106945,THE BURNEY COMPANY,THE BURNEY COMPANY,RESTON,VA,3.14,100,MINOR_VARIANT
109698,EVENSKY & KATZ/FOLDES WEALTH MANAGEMENT,"EVENSKY & KATZ, LLC",CORAL GABLES,FL,3.13,55,DBA_MISMATCH
106489,NORTH STAR ASSET MANAGEMENT INC,NORTH STAR ASSET MANAGEMENT INC,NEENAH,WI,3.08,100,MINOR_VARIANT
173841,"CAPTION MANAGEMENT, LLC","CAPTION MANAGEMENT, LLC",OKLAHOMA CITY,OK,3.07,100,MINOR_VARIANT
283930,EQUITY INVESTMENT CORP,EQUITY INVESTMENT CORPORATION,ATLANTA,GA,3.05,86,MINOR_VARIANT
111033,PITTENGER & ANDERSON INC,PITTENGER & ANDERSON INC,LINCOLN,NE,3.03,100,MINOR_VARIANT
159347,"ALPHA CUBED INVESTMENTS, LLC","ALPHA CUBED INVESTMENTS, LLC",COSTA MESA,CA,3.03,100,MINOR_VARIANT
158671,"SEAFARER CAPITAL PARTNERS, LLC","SEAFARER CAPITAL PARTNERS, LLC",LARKSPUR,CA,3.02,100,MINOR_VARIANT
164109,ADVISOR RESOURCE COUNCIL,ADVISOR RESOURCE COUNCIL,DALLAS,TX,3.02,100,MINOR_VARIANT
110226,SOL CAPITAL MANAGEMENT CO,SOL CAPITAL MANAGEMENT CO,ROCKVILLE,MD,2.98,100,MINOR_VARIANT
105581,SHAPIRO CAPITAL MANAGEMENT LLC,SHAPIRO CAPITAL MANAGEMENT LLC,ATLANTA,GA,2.95,100,MINOR_VARIANT
143750,BIRCH HILL INVESTMENT ADVISORS LLC,BIRCH HILL INVESTMENT ADVISORS LLC,BOSTON,MA,2.95,100,MINOR_VARIANT
169579,"CASDIN CAPITAL, LLC","CASDIN CAPITAL, LLC",NEW YORK,NY,2.94,100,MINOR_VARIANT
105653,BEDEL FINANCIAL CONSULTING INC,BEDEL FINANCIAL CONSULTING INC,INDIANAPOLIS,IN,2.92,100,MINOR_VARIANT
128591,"SCHNEIDER DOWNS WEALTH MANAGEMENT ADVISORS, LP","SCHNEIDER DOWNS WEALTH MANAGEMENT ADVISORS, LP",PITTSBURGH,PA,2.91,100,MINOR_VARIANT
106019,ROFFMAN MILLER ASSOCIATES INC,ROFFMAN MILLLER ASSOCIATES INC,PHILADELPHIA,PA,2.9,98,MINOR_VARIANT
129614,SMITH SALLEY WEALTH MANAGEMENT,"SMITH, SALLEY & ASSOCIATES, LLC",GREENSBORO,NC,2.89,52,DBA_MISMATCH
107118,STALEY CAPITAL ADVISERS INC,STALEY CAPITAL ADVISERS INC,PITTSBURGH,PA,2.88,100,MINOR_VARIANT
111458,COOPER MCMANUS,COOPER FINANCIAL GROUP,IRVINE,CA,2.85,56,DBA_MISMATCH
123898,"VALLEY FORGE INVESTMENT CONSULTANTS, INC.","VALLEY FORGE INVESTMENT CONSULTANTS, INC.",AUDUBON,PA,2.84,100,MINOR_VARIANT
159388,BALTIMORE-WASHINGTON FINANCIAL ADVISORS,"BALTIMORE-WASHINGTON FINANCIAL ADVISORS, INC.",COLUMBIA,MD,2.83,93,MINOR_VARIANT
174336,"BARWICK & PARTNERS, INC.","BARWICK & PARTNERS, INC.",,,2.77,100,MINOR_VARIANT
312557,LEEWARD INVESTMENTS,"LEEWARD INVESTMENTS, LLC",BOSTON,MA,2.75,88,MINOR_VARIANT
